Client_ID ,Date_of_Intake ,Case_Type,Lead_Source,Intake_Status,Intake_Agent
C0001,4/3/2023,Uber/Lyft Accident,Social Media,Approved,Agent D
C0002,2/13/2024,Dog Bite,Phone,Approved,Agent C
C0003,2/28/2024,Uber/Lyft Accident,Phone,Approved,Agent A
C0004,3/9/2023,Auto Accident,Phone,Rejected,Agent E
C0005,3/11/2024,Slip and Fall,Referral,Approved,Agent B
C0006,5/23/2024,Dog Bite,Website,Pending,Agent D
C0007,1/3/2023,Auto Accident,Phone,Approved,Agent C
C0008,2/13/2023,Motorcycle Accident,Website,Pending,Agent D
C0009,5/3/2024,Uber/Lyft Accident,Phone,Approved,Agent E
C0010,12/26/2023,Auto Accident,Phone,Approved,Agent B
C0011,3/23/2024,Slip and Fall,Social Media,Approved,Agent D
C0012,4/12/2023,Dog Bite,Phone,Pending,Agent D
C0013,6/28/2023,Auto Accident,Phone,Pending,Agent A
C0014,5/28/2024,Slip and Fall,Social Media,Approved,Agent B
C0015,9/30/2023,Uber/Lyft Accident,Phone,Approved,Agent E
C0016,8/22/2024,Uber/Lyft Accident,Referral,Rejected,Agent C
C0017,12/6/2024,Dog Bite,Website,Rejected,Agent C
C0018,10/1/2023,Dog Bite,Phone,Rejected,Agent B
C0019,7/15/2023,Auto Accident,Social Media,Approved,Agent B
C0020,2/18/2024,Slip and Fall,Phone,Rejected,Agent C
C0021,9/13/2024,Dog Bite,Referral,Approved,Agent A
C0022,12/13/2023,Dog Bite,Referral,Approved,Agent A
C0023,12/20/2023,Motorcycle Accident,Website,Approved,Agent B
C0024,1/20/2023,Uber/Lyft Accident,Website,Pending,Agent D
C0025,12/28/2023,Auto Accident,Website,Approved,Agent B
C0026,5/19/2024,Motorcycle Accident,Referral,Approved,Agent C
C0027,2/2/2023,Dog Bite,Phone,Approved,Agent B
C0028,9/16/2024,Motorcycle Accident,Social Media,Approved,Agent A
C0029,10/17/2024,Dog Bite,Phone,Approved,Agent A
C0030,11/27/2023,Motorcycle Accident,Phone,Approved,Agent D
C0031,12/23/2023,Uber/Lyft Accident,Referral,Approved,Agent C
C0032,3/25/2024,Auto Accident,Phone,Rejected,Agent A
C0033,4/29/2024,Dog Bite,Website,Approved,Agent C
C0034,3/19/2023,Slip and Fall,Website,Rejected,Agent E
C0035,12/23/2024,Dog Bite,Website,Approved,Agent B
C0036,8/14/2024,Slip and Fall,Phone,Rejected,Agent A
C0037,10/24/2024,Auto Accident,Social Media,Pending,Agent D
C0038,2/9/2024,Dog Bite,Referral,Approved,Agent E
C0039,1/9/2024,Dog Bite,Phone,Approved,Agent C
C0040,11/26/2024,Auto Accident,Referral,Approved,Agent C
C0041,11/3/2023,Slip and Fall,Phone,Approved,Agent B
C0042,1/28/2024,Motorcycle Accident,Website,Approved,Agent B
C0043,10/1/2024,Uber/Lyft Accident,Website,Approved,Agent B
C0044,5/22/2024,Dog Bite,Website,Approved,Agent E
C0045,7/29/2024,Dog Bite,Social Media,Pending,Agent B
C0046,5/29/2024,Uber/Lyft Accident,Social Media,Approved,Agent A
C0047,1/14/2024,Uber/Lyft Accident,Social Media,Approved,Agent B
C0048,4/27/2023,Auto Accident,Phone,Pending,Agent B
C0049,4/6/2024,Slip and Fall,Website,Approved,Agent A
C0050,7/11/2024,Slip and Fall,Website,Approved,Agent A
C0051,8/6/2024,Slip and Fall,Social Media,Pending,Agent A
C0052,9/20/2023,Uber/Lyft Accident,Phone,Approved,Agent C
C0053,3/21/2023,Slip and Fall,Referral,Pending,Agent A
C0054,10/21/2024,Motorcycle Accident,Phone,Approved,Agent B
C0055,2/23/2024,Motorcycle Accident,Referral,Approved,Agent C
C0056,1/27/2024,Auto Accident,Referral,Pending,Agent D
C0057,3/5/2024,Motorcycle Accident,Referral,Approved,Agent B
C0058,10/27/2024,Slip and Fall,Phone,Approved,Agent D
C0059,7/29/2024,Slip and Fall,Referral,Approved,Agent C
C0060,5/11/2023,Slip and Fall,Phone,Pending,Agent B
C0061,6/25/2024,Auto Accident,Referral,Approved,Agent A
C0062,5/5/2024,Slip and Fall,Referral,Approved,Agent D
C0063,7/31/2024,Dog Bite,Social Media,Approved,Agent B
C0064,10/7/2023,Motorcycle Accident,Referral,Approved,Agent C
