Case_ID,Client_ID,Attorney_Assigned,Date_Filed,Current_Stage,Total_Case_Duration_Days
CASE0001,C0186,Attorney Lee,11/11/2023,Negotiation,550
CASE0002,C0225,Attorney Nguyen,12/16/2024,Negotiation,599
CASE0003,C0134,Attorney Patel,2/7/2024,Litigation,359
CASE0004,C0181,Attorney Patel,3/29/2024,Litigation,205
CASE0005,C0146,Attorney Smith,3/19/2023,Negotiation,343
CASE0006,C0288,Attorney Smith,11/8/2024,Litigation,567
CASE0007,C0121,Attorney Smith,8/9/2023,Negotiation,719
CASE0008,C0277,Attorney Garcia,5/21/2024,Investigation,333
CASE0009,C0003,Attorney Garcia,3/10/2024,Negotiation,167
CASE0010,C0190,Attorney Garcia,10/23/2024,Negotiation,499
CASE0011,C0093,Attorney Smith,4/3/2023,Settlement,497
CASE0012,C0218,Attorney Nguyen,1/17/2024,Investigation,136
CASE0013,C0256,Attorney Nguyen,8/15/2023,Litigation,453
CASE0014,C0265,Attorney Garcia,1/21/2024,Investigation,55
CASE0015,C0185,Attorney Lee,11/8/2023,Litigation,99
CASE0016,C0259,Attorney Nguyen,7/2/2024,Investigation,471
CASE0017,C0094,Attorney Patel,1/4/2025,Investigation,548
CASE0018,C0280,Attorney Smith,8/31/2023,Settlement,100
CASE0019,C0291,Attorney Lee,11/29/2024,Litigation,354
CASE0020,C0293,Attorney Lee,4/5/2023,Litigation,487
CASE0021,C0045,Attorney Lee,8/9/2024,Settlement,367
CASE0022,C0281,Attorney Smith,8/29/2023,Negotiation,242
CASE0023,C0297,Attorney Nguyen,12/7/2023,Negotiation,448
CASE0024,C0138,Attorney Nguyen,9/4/2024,Settlement,666
CASE0025,C0010,Attorney Garcia,1/20/2024,Litigation,49
CASE0026,C0245,Attorney Garcia,2/11/2023,Negotiation,698
CASE0027,C0110,Attorney Lee,1/2/2025,Negotiation,333
CASE0028,C0078,Attorney Nguyen,8/6/2024,Settlement,723
CASE0029,C0194,Attorney Lee,9/29/2023,Negotiation,708
CASE0030,C0218,Attorney Lee,1/19/2024,Negotiation,89
CASE0031,C0254,Attorney Garcia,12/14/2024,Settlement,424
CASE0032,C0124,Attorney Lee,5/30/2023,Settlement,632
CASE0033,C0240,Attorney Smith,2/5/2023,Settlement,668
CASE0034,C0205,Attorney Garcia,3/13/2024,Settlement,636
CASE0035,C0086,Attorney Garcia,5/13/2024,Litigation,670
CASE0036,C0050,Attorney Patel,7/31/2024,Settlement,349
CASE0037,C0218,Attorney Nguyen,1/28/2024,Settlement,478
CASE0038,C0024,Attorney Garcia,1/25/2023,Negotiation,321
CASE0039,C0143,Attorney Nguyen,9/18/2023,Investigation,710
CASE0040,C0175,Attorney Lee,8/11/2024,Investigation,373
CASE0041,C0094,Attorney Nguyen,1/12/2025,Investigation,201
CASE0042,C0029,Attorney Lee,10/23/2024,Litigation,483
CASE0043,C0071,Attorney Garcia,3/5/2024,Investigation,692
CASE0044,C0004,Attorney Garcia,4/7/2023,Litigation,356
CASE0045,C0142,Attorney Nguyen,11/16/2023,Litigation,697
CASE0046,C0233,Attorney Smith,3/23/2024,Negotiation,634
CASE0047,C0070,Attorney Smith,10/15/2024,Negotiation,351
CASE0048,C0202,Attorney Nguyen,4/2/2024,Litigation,671
CASE0049,C0200,Attorney Nguyen,11/22/2023,Negotiation,83
CASE0050,C0299,Attorney Smith,11/15/2024,Settlement,49
CASE0051,C0186,Attorney Smith,11/9/2023,Litigation,508
CASE0052,C0298,Attorney Garcia,10/16/2024,Investigation,137
CASE0053,C0291,Attorney Lee,12/7/2024,Litigation,172
CASE0054,C0166,Attorney Garcia,5/16/2023,Settlement,416
CASE0055,C0141,Attorney Lee,6/13/2023,Settlement,142
CASE0056,C0195,Attorney Patel,12/11/2024,Settlement,642
CASE0057,C0300,Attorney Patel,8/24/2024,Litigation,147
CASE0058,C0118,Attorney Patel,10/17/2023,Negotiation,580
CASE0059,C0006,Attorney Garcia,5/26/2024,Negotiation,34
CASE0060,C0036,Attorney Smith,8/28/2024,Settlement,144
CASE0061,C0238,Attorney Lee,4/9/2023,Investigation,457
CASE0062,C0193,Attorney Nguyen,8/31/2023,Litigation,141
CASE0063,C0067,Attorney Garcia,8/31/2024,Settlement,250
CASE0064,C0055,Attorney Lee,3/20/2024,Investigation,512
CASE0065,C0043,Attorney Garcia,10/17/2024,Negotiation,32
CASE0066,C0247,Attorney Nguyen,12/9/2023,Litigation,99
CASE0067,C0146,Attorney Nguyen,3/21/2023,Investigation,708
CASE0068,C0114,Attorney Garcia,7/7/2024,Litigation,547
CASE0069,C0219,Attorney Patel,3/10/2024,Settlement,268
CASE0070,C0079,Attorney Garcia,5/2/2024,Litigation,129
CASE0071,C0289,Attorney Patel,10/14/2023,Investigation,479
CASE0072,C0188,Attorney Nguyen,2/11/2024,Negotiation,631
CASE0073,C0148,Attorney Nguyen,2/17/2024,Negotiation,61
CASE0074,C0224,Attorney Lee,9/8/2024,Investigation,682
CASE0075,C0170,Attorney Nguyen,7/15/2023,Negotiation,120
CASE0076,C0031,Attorney Patel,1/17/2024,Settlement,665
CASE0077,C0126,Attorney Smith,3/9/2023,Negotiation,507
CASE0078,C0277,Attorney Lee,5/21/2024,Settlement,68
CASE0079,C0206,Attorney Garcia,9/22/2024,Negotiation,710
CASE0080,C0031,Attorney Garcia,12/25/2023,Litigation,107
CASE0081,C0300,Attorney Garcia,8/21/2024,Litigation,512
CASE0082,C0214,Attorney Nguyen,8/1/2024,Litigation,197
CASE0083,C0211,Attorney Nguyen,5/13/2023,Settlement,32
CASE0084,C0135,Attorney Lee,9/22/2023,Litigation,589
CASE0085,C0178,Attorney Garcia,6/11/2023,Litigation,319
CASE0086,C0275,Attorney Patel,3/24/2024,Investigation,194
CASE0087,C0286,Attorney Nguyen,1/27/2024,Settlement,88
CASE0088,C0016,Attorney Nguyen,8/29/2024,Settlement,94
CASE0089,C0096,Attorney Garcia,4/5/2024,Settlement,547
CASE0090,C0241,Attorney Nguyen,8/9/2024,Litigation,295
CASE0091,C0253,Attorney Smith,6/13/2023,Negotiation,515
CASE0092,C0240,Attorney Nguyen,2/4/2023,Negotiation,256
CASE0093,C0023,Attorney Patel,1/10/2024,Negotiation,587
CASE0094,C0288,Attorney Lee,11/13/2024,Settlement,132
CASE0095,C0291,Attorney Lee,11/17/2024,Litigation,272
CASE0096,C0043,Attorney Garcia,10/3/2024,Settlement,150
CASE0097,C0153,Attorney Nguyen,2/16/2023,Negotiation,135
