Case_ID,Settlement_Amount,Date_Settled,Attorney_Fee,Client_Payout
CASE0011,142929,8/16/2023,47166.57,95762.43
CASE0018,88933,3/4/2024,29347.89,59585.11
CASE0021,105558,10/17/2024,34834.14,70723.86
CASE0024,97272,12/24/2024,32099.76,65172.24
CASE0028,60668,6/19/2025,20020.44,40647.56
CASE0031,22335,3/31/2025,7370.55,14964.45
CASE0032,35465,11/18/2023,11703.45,23761.55
CASE0033,124743,4/27/2023,41165.19,83577.81
CASE0034,51561,2/27/2025,17015.13,34545.87
CASE0036,34653,5/9/2025,11435.49,23217.51
CASE0037,104341,6/24/2024,34432.53,69908.47
CASE0050,29371,6/26/2025,9692.43,19678.57
CASE0054,113419,12/12/2023,37428.27,75990.73
CASE0055,134687,6/5/2024,44446.71,90240.29
CASE0056,30785,7/21/2025,10159.05,20625.95
CASE0060,34232,7/7/2025,11296.56,22935.44
CASE0063,56930,8/24/2025,18786.9,38143.1
CASE0069,50252,2/25/2025,16583.16,33668.84
CASE0076,10479,8/12/2024,3458.07,7020.93
CASE0078,24751,9/20/2024,8167.83,16583.17
CASE0083,117876,2/27/2024,38899.08,78976.92
CASE0087,56673,11/17/2024,18702.09,37970.91
CASE0088,109585,11/12/2024,36163.05,73421.95
CASE0089,40309,2/8/2025,13301.97,27007.03
CASE0094,5429,9/18/2025,1791.57,3637.43
CASE0096,33294,1/22/2025,10987.02,22306.98
CASE0112,42756,7/4/2025,14109.48,28646.52
CASE0116,134379,8/28/2024,44345.07,90033.93
CASE0119,122286,11/7/2024,40354.38,81931.62
CASE0120,13033,8/29/2025,4300.89,8732.11
CASE0121,36020,8/24/2024,11886.6,24133.4
CASE0122,129421,7/2/2024,42708.93,86712.07
CASE0123,31400,11/21/2025,10362,21038
CASE0125,148393,7/10/2024,48969.69,99423.31
CASE0128,132565,8/26/2024,43746.45,88818.55
CASE0129,7895,11/21/2024,2605.35,5289.65
CASE0130,20579,7/6/2024,6791.07,13787.93
CASE0139,49578,8/4/2025,16360.74,33217.26
CASE0140,49915,2/26/2024,16471.95,33443.05
CASE0141,58439,12/8/2024,19284.87,39154.13
CASE0143,64347,11/3/2023,21234.51,43112.49
CASE0147,24832,7/16/2024,8194.56,16637.44
CASE0149,84528,5/22/2025,27894.24,56633.76
CASE0151,31177,6/20/2023,10288.41,20888.59
CASE0156,118754,8/22/2024,39188.82,79565.18
CASE0163,100661,5/29/2025,33218.13,67442.87
CASE0169,147539,11/26/2023,48687.87,98851.13
CASE0174,148283,11/9/2023,48933.39,99349.61
CASE0175,35253,12/30/2024,11633.49,23619.51
CASE0176,71193,8/15/2024,23493.69,47699.31
CASE0180,74840,4/18/2023,24697.2,50142.8
CASE0181,128841,1/4/2025,42517.53,86323.47
CASE0182,49400,10/12/2025,16302,33098
CASE0193,78364,6/5/2025,25860.12,52503.88
CASE0194,62117,1/3/2026,20498.61,41618.39
CASE0196,131078,10/22/2024,43255.74,87822.26
CASE0197,74311,7/21/2025,24522.63,49788.37
CASE0202,54869,2/4/2024,18106.77,36762.23
CASE0207,105955,12/29/2024,34965.15,70989.85
CASE0208,105428,2/5/2025,34791.24,70636.76
CASE0211,7310,4/27/2024,2412.3,4897.7
CASE0217,72844,4/30/2024,24038.52,48805.48
CASE0220,23259,3/29/2024,7675.47,15583.53
